Number,Group,Video Class (BDI/ Control = safe),Video Name,TTI Frame Seccond File name ,"Instrument number
1 - 4","Yolo TTI
0 = TN
1 = TP
2 = FN
3 = FP","Ground Truth Location of TTI
0 = no TTI (TN/FP)
1 = ALOS
2 = BLOS",Comments,Instument Type,TTI interaction,Side,
,Control,Control 2,LapChol Case 0002 03,0,1,1,1,,G,RG,left,
,Control,Control 2,LapChol Case 0002 03,0,2,1,1,,cautery,energy-sharp dissection,right,
,Control,Control 2,LapChol Case 0002 03,20,1,3,0,,none,,,
,Control,Control 2,LapChol Case 0002 03,20,2,2,1,,G,RG,left,
,Control,Control 2,LapChol Case 0002 03,20,3,2,1,,cautery,energy-sharp dissection,right,
,Control,Control 2,LapChol Case 0002 03,50,1,1,1,,G,RG,left,
,Control,Control 2,LapChol Case 0002 03,50,2,2,1,,G2,RG,left,
,Control,Control 2,LapChol Case 0002 03,50,3,0,0,,cautery,,right,
,Control,Control 2,LapChol Case 0002 03,60,1,1,1,,G,RG,left,
,Control,Control 2,LapChol Case 0002 03,70,1,2,1,,G,RG,left,
,Control,Control 2,LapChol Case 0002 03,70,2,3,0,,cautery,,right,
,Control,Control 2,LapChol Case 0002 03,80,1,1,1,,G,RG,left,
,Control,Control 2,LapChol Case 0002 03,80,2,3,0,,cautery,,right,
,Control,Control 2,LapChol Case 0002 03,90,1,1,1,,G,RG,left,
,Control,Control 2,LapChol Case 0002 03,90,2,1,1,,cautery,energy-sharp dissection,right,
,Control,Control 2,LapChol Case 0002 03,160,1,1,1,,cautery,energy-sharp dissection,right,
,Control,Control 2,LapChol Case 0002 03,190,1,1,1,,cautery,energy-sharp dissection,right,
,Control,Control 2,LapChol Case 0002 03,210,1,1,1,,G,RG,left,
,Control,Control 2,LapChol Case 0002 03,210,2,0,0,,cautery,,right,
,Control,Control 2,LapChol Case 0002 03,240,1,1,1,,G,RG,left,
,Control,Control 2,LapChol Case 0002 03,240,2,0,0,,cautery,,right,
,Control,Control 2,LapChol Case 0002 03,270,1,1,1,,G,RG,left,
,Control,Control 2,LapChol Case 0002 03,270,2,0,0,,cautery,,right,
,Control,Control 2,LapChol Case 0002 03,280,1,1,1,,G,RG,left,
,Control,Control 2,LapChol Case 0002 03,280,2,1,1,,cautery,other,right,
,Control,Control 2,LapChol Case 0002 03,290,1,1,1,,G,RG,left,
,Control,Control 2,LapChol Case 0002 03,290,2,1,1,,G,RG,left,
,Control,Control 2,LapChol Case 0002 03,300,1,1,1,,G,RG,left,
,Control,Control 2,LapChol Case 0002 03,320,1,1,1,,G,RG,left,
,Control,Control 2,LapChol Case 0002 03,320,2,3,0,,dissector,,right,
,Control,Control 2,LapChol Case 0002 03,330,1,1,1,,G,RG,left,
,Control,Control 2,LapChol Case 0002 03,330,2,2,1,,dissector,blunt dissection,right,
