Number,Group,Video Class (BDI/ Control = safe),Video Name,TTI Frame Seccond File name ,"Instrument number
1 - 4","Yolo TTI
0 = TN
1 = TP
2 = FN
3 = FP","Ground Truth Location of TTI
0 = no TTI (TN/FP)
1 = ALOS
2 = BLOS",Comments,Instument Type,TTI interaction,Side,
,BDI,BDI Video,V2-Trimmed,0,1,?,,not a target,,,,
,BDI,BDI Video,V2-Trimmed,10,1,?,,not a target,,,,
,BDI,BDI Video,V2-Trimmed,20,1,?,,not a target,,,,
,BDI,BDI Video,V2-Trimmed,60,1,1,2,,cautery,other,right,
,BDI,BDI Video,V2-Trimmed,80,1,1,2,,cautery,other,right,
,BDI,BDI Video,V2-Trimmed,90,1,1,2,,cautery,other,right,
,BDI,BDI Video,V2-Trimmed,120,1,1,2,,G,RG,left,
,BDI,BDI Video,V2-Trimmed,120,2,2,2,,cautery,energy sharp dissection,right,
,BDI,BDI Video,V2-Trimmed,130,1,1,2,,G,RG,left,
,BDI,BDI Video,V2-Trimmed,130,2,0,0,,cautery,,right,
,BDI,BDI Video,V2-Trimmed,170,1,1,1,,G,RG,left,
,BDI,BDI Video,V2-Trimmed,170,2,0,0,,cautery,,right,
,BDI,BDI Video,V2-Trimmed,180,1,1,1,,G,RG,left,
,BDI,BDI Video,V2-Trimmed,180,2,2,1,,cautery,other,right,
,BDI,BDI Video,V2-Trimmed,190,1,1,1,,G,RG,left,
,BDI,BDI Video,V2-Trimmed,190,2,2,2,,cautery,other,right,
,BDI,BDI Video,V2-Trimmed,210,1,1,1,,cautery,energy sharp dissection,right,
,BDI,BDI Video,V2-Trimmed,220,1,1,1,,cautery,energy sharp dissection,right,
,BDI,BDI Video,V2-Trimmed,230,1,1,1,,G,RG,left,
,BDI,BDI Video,V2-Trimmed,230,2,1,2,,cautery,energy sharp dissection,right,
,BDI,BDI Video,V2-Trimmed,240,1,1,1,,G,RG,left,
,BDI,BDI Video,V2-Trimmed,240,2,1,2,,cautery,energy sharp dissection,right,
