Number,Group,Video Class (BDI/ Control = safe),Video Name,TTI Frame Seccond File name ,"Instrument number
1 - 4","Yolo TTI
0 = TN
1 = TP
2 = FN
3 = FP","Ground Truth Location of TTI
0 = no TTI (TN/FP)
1 = ALOS
2 = BLOS",Comments,Instument Type,TTI interaction,Side,
,BDI,BDI Video,V7- Trimmed,60,1,1,1,,G,RG,left,
,BDI,BDI Video,V7- Trimmed,60,2,0,0,,cautery,,right,
,BDI,BDI Video,V7- Trimmed,160,1,?,,not a target,,,,
,BDI,BDI Video,V7- Trimmed,180,1,?,,not a target,,,,
,BDI,BDI Video,V7- Trimmed,210,1,1,1,,G,RG,left,
,BDI,BDI Video,V7- Trimmed,210,2,0,0,,dissector,,right,
,BDI,BDI Video,V7- Trimmed,250,1,1,1,,G,RG,left,
,BDI,BDI Video,V7- Trimmed,250,2,0,0,,dissector,,right,
,BDI,BDI Video,V7- Trimmed,270,1,3,0,,dissector,,right,
,BDI,BDI Video,V7- Trimmed,280,1,1,1,,G,RG,left,
,BDI,BDI Video,V7- Trimmed,280,2,3,0,,none,,,
,BDI,BDI Video,V7- Trimmed,310,1,,,not a target,,,,
,BDI,BDI Video,V7- Trimmed,320,1,3,0,,none,,,
,BDI,BDI Video,V7- Trimmed,320,2,2,2,,G,RG,left,
,BDI,BDI Video,V7- Trimmed,320,3,2,2,,cautery,other,right,
,BDI,BDI Video,V7- Trimmed,330,1,3,0,,cautery,,right,
,BDI,BDI Video,V7- Trimmed,330,2,3,0,,none,,,
,BDI,BDI Video,V7- Trimmed,340,1,1,1,,G,RG,left,
,BDI,BDI Video,V7- Trimmed,340,2,1,2,,suction,other,right,
,BDI,BDI Video,V7- Trimmed,380,1,1,1,,G,RG,left,
,BDI,BDI Video,V7- Trimmed,380,2,0,0,,suction,,right,
,BDI,BDI Video,V7- Trimmed,400,1,1,1,,G,RG,left,
,BDI,BDI Video,V7- Trimmed,400,2,2,2,,suction,other,right,
,BDI,BDI Video,V7- Trimmed,410,1,2,1,,G2,RG,left,
,BDI,BDI Video,V7- Trimmed,410,2,1,1,,G2,RG,left,
,BDI,BDI Video,V7- Trimmed,440,1,1,1,,G,RG,left,
,BDI,BDI Video,V7- Trimmed,440,2,2,2,,dissector,blunt dissection,right,
,BDI,BDI Video,V7- Trimmed,450,1,1,1,,G,RG,left,
,BDI,BDI Video,V7- Trimmed,450,2,2,2,,dissector,blunt dissection,right,
,BDI,BDI Video,V7- Trimmed,460,1,1,1,,G,RG,left,
,BDI,BDI Video,V7- Trimmed,460,2,0,0,,dissector,,right,
,BDI,BDI Video,V7- Trimmed,530,1,3,0,,none,,,
,BDI,BDI Video,V7- Trimmed,530,2,0,0,,suction,,right,
,BDI,BDI Video,V7- Trimmed,540,1,1,1,,G,RG,left,
,BDI,BDI Video,V7- Trimmed,540,2,2,2,,suction,other,right,
,BDI,BDI Video,V7- Trimmed,550,1,1,1,,G,RG,left,
,BDI,BDI Video,V7- Trimmed,600,1,1,1,,G,RG,left,
,BDI,BDI Video,V7- Trimmed,600,2,2,2,,peanut,other,right,
,BDI,BDI Video,V7- Trimmed,610,1,3,0,,none,,,
,BDI,BDI Video,V7- Trimmed,610,2,1,1,,G,RG,left,
,BDI,BDI Video,V7- Trimmed,620,2,1,1,,G,RG,left,
,BDI,BDI Video,V7- Trimmed,620,3,0,0,,suction,,right,
,BDI,BDI Video,V7- Trimmed,670,1,1,2,,dissector,blunt dissection,right,
,BDI,BDI Video,V7- Trimmed,710,1,1,1,,G,RG,left,
,BDI,BDI Video,V7- Trimmed,720,1,1,2,,cautery,other,right,
,BDI,BDI Video,V7- Trimmed,780,1,3,0,,none,,,
,BDI,BDI Video,V7- Trimmed,780,2,1,2,,G,RG,left,
,BDI,BDI Video,V7- Trimmed,820,1,1,1,,G,RG,left,
,BDI,BDI Video,V7- Trimmed,820,2,0,0,,G2,,left,
,BDI,BDI Video,V7- Trimmed,820,3,2,2,,suction,blunt dissection,right,
,BDI,BDI Video,V7- Trimmed,840,1,3,0,,G,,left,
,BDI,BDI Video,V7- Trimmed,840,2,2,1,,suction,blunt dissection,right,
,BDI,BDI Video,V7- Trimmed,920,1,1,1,,G,RG,left,
,BDI,BDI Video,V7- Trimmed,920,2,2,1,,suction,other,right,
,BDI,BDI Video,V7- Trimmed,930,1,2,1,,cautery,energy sharp dissection,right,
,BDI,BDI Video,V7- Trimmed,930,2,1,1,,G,RG,left,
,BDI,BDI Video,V7- Trimmed,930,3,2,1,,G2,RG,left,
,BDI,BDI Video,V7- Trimmed,940,1,2,1,,suction,blunt dissection,right,
,BDI,BDI Video,V7- Trimmed,940,2,1,1,,G,RG,left,
,BDI,BDI Video,V7- Trimmed,940,3,2,1,,G2 ,RG,left,
,BDI,BDI Video,V7- Trimmed,950,1,2,1,,suction,other,right,
,BDI,BDI Video,V7- Trimmed,950,2,1,1,,G,RG,left,
,BDI,BDI Video,V7- Trimmed,950,3,2,2,,G2,RG,left,
,BDI,BDI Video,V7- Trimmed,980,1,2,1,,suction,other,right,
,BDI,BDI Video,V7- Trimmed,980,2,1,1,,G,RG,left,
,BDI,BDI Video,V7- Trimmed,980,3,2,1,,G2,RG,left,
,BDI,BDI Video,V7- Trimmed,990,1,1,1,,G,RG,left,
,BDI,BDI Video,V7- Trimmed,990,2,2,1,,suction,blunt dissection,right,
,BDI,BDI Video,V7- Trimmed,990,3,3,0,,G2,,left,
,BDI,BDI Video,V7- Trimmed,1000,1,2,1,,G,RG,left,
,BDI,BDI Video,V7- Trimmed,1000,2,1,1,,G2,RG,left,
,BDI,BDI Video,V7- Trimmed,1000,3,0,0,,suction,,right,
,BDI,BDI Video,V7- Trimmed,1010,1,2,1,,G,RG,left,
,BDI,BDI Video,V7- Trimmed,1010,2,1,1,,G2,RG,left,
,BDI,BDI Video,V7- Trimmed,1010,3,0,0,,suction,,right,
,BDI,BDI Video,V7- Trimmed,1010,4,3,0,,none,,,
,BDI,BDI Video,V7- Trimmed,1030,1,1,1,,G,RG,left,
,BDI,BDI Video,V7- Trimmed,1030,2,2,2,,suction,other,right,
,BDI,BDI Video,V7- Trimmed,1050,1,2,1,,G,RG,left,
,BDI,BDI Video,V7- Trimmed,1050,2,1,1,,G2,RG,left,
,BDI,BDI Video,V7- Trimmed,1050,3,2,2,,suction,blunt dissection,right,
,BDI,BDI Video,V7- Trimmed,1060,1,1,1,,G,RG,left,
,BDI,BDI Video,V7- Trimmed,1060,2,2,2,,suction,other,right,
,BDI,BDI Video,V7- Trimmed,1080,1,1,1,,G,RG,left,
,BDI,BDI Video,V7- Trimmed,1080,2,2,2,,cautery,other,right,
,BDI,BDI Video,V7- Trimmed,1100,1,1,1,,G,RG,left,
,BDI,BDI Video,V7- Trimmed,1100,2,0,0,,suction,,right,
,BDI,BDI Video,V7- Trimmed,1120,1,1,1,,G,RG,left,
,BDI,BDI Video,V7- Trimmed,1120,2,0,0,,suction,,right,
,BDI,BDI Video,V7- Trimmed,1140,1,1,1,,G,RG,left,
,BDI,BDI Video,V7- Trimmed,1140,2,2,1,,G2,RG,left,
,BDI,BDI Video,V7- Trimmed,1150,1,1,1,,G,RG,left,
,BDI,BDI Video,V7- Trimmed,1150,2,0,0,,peanut,,right,
,BDI,BDI Video,V7- Trimmed,1160,1,2,1,,G,RG,left,
,BDI,BDI Video,V7- Trimmed,1160,2,1,1,,G2,RG,left,
,BDI,BDI Video,V7- Trimmed,1170,1,1,1,,G,RG,left,
,BDI,BDI Video,V7- Trimmed,1170,2,2,2,,cautery,other,right,
,BDI,BDI Video,V7- Trimmed,1180,1,1,1,,G,RG,left,
,BDI,BDI Video,V7- Trimmed,1180,2,2,2,,cautery,other,right,
,BDI,BDI Video,V7- Trimmed,1190,1,1,1,,G,RG,left,
,BDI,BDI Video,V7- Trimmed,1190,2,0,0,,suction,,right,
,BDI,BDI Video,V7- Trimmed,1210,1,1,1,,G,RG,left,
,BDI,BDI Video,V7- Trimmed,1210,2,1,1,,G2,RG,left,
,BDI,BDI Video,V7- Trimmed,1210,3,2,2,,peanut,blunt dissection,right,
,BDI,BDI Video,V7- Trimmed,1220,1,1,1,,G,RG,left,
,BDI,BDI Video,V7- Trimmed,1220,2,2,2,,peanut,blunt dissection,right,
,BDI,BDI Video,V7- Trimmed,1230,1,1,1,,G,RG,left,
,BDI,BDI Video,V7- Trimmed,1290,1,1,1,,G,RG,left,
,BDI,BDI Video,V7- Trimmed,1290,2,2,2,,cautery,other,right,
,BDI,BDI Video,V7- Trimmed,1320,1,1,1,,G,RG,left,
,BDI,BDI Video,V7- Trimmed,1320,2,0,0,,suction,,right,
,BDI,BDI Video,V7- Trimmed,1330,1,1,1,,G,RG,left,
,BDI,BDI Video,V7- Trimmed,1330,2,1,1,,G2,RG,left,
,BDI,BDI Video,V7- Trimmed,1330,3,0,0,,suction,,right,
,BDI,BDI Video,V7- Trimmed,1390,1,3,0,,none,,,
,BDI,BDI Video,V7- Trimmed,1390,2,2,2,,suction,other,right,
,BDI,BDI Video,V7- Trimmed,1420,1,2,1,,grasper,retract-grab,left,
,BDI,BDI Video,V7- Trimmed,1420,2,2,2,,cautery,other,right,
,BDI,BDI Video,V7- Trimmed,1420,3,1,2,,grasper,retract-grab,left,
,BDI,BDI Video,V7- Trimmed,1470,1,1,2,,grasper,retract-grab,left,
,BDI,BDI Video,V7- Trimmed,1480,1,1,1,,G,RG,left,
,BDI,BDI Video,V7- Trimmed,1480,2,2,2,,Suction,suction,right,
,BDI,BDI Video,V7- Trimmed,1500,1,1,1,,G,RG,left,
,BDI,BDI Video,V7- Trimmed,1500,2,1,2,,G2,RG,left,
,BDI,BDI Video,V7- Trimmed,1540,1,1,1,,G,RG,left,
,BDI,BDI Video,V7- Trimmed,1540,2,2,2,,cautery,other,right,
,BDI,BDI Video,V7- Trimmed,1580,1,1,1,,G,RG,left,
,BDI,BDI Video,V7- Trimmed,1580,2,2,2,,suction,blunt dissection,right,
,BDI,BDI Video,V7- Trimmed,1590,1,1,1,,G,RG,left,
,BDI,BDI Video,V7- Trimmed,1590,2,2,2,,cautery,other,right,
,BDI,BDI Video,V7- Trimmed,1600,1,1,1,,G,RG,left,
,BDI,BDI Video,V7- Trimmed,1600,2,2,2,,suction,other,right,
,BDI,BDI Video,V7- Trimmed,1610,1,2,1,,G,RG,left,
,BDI,BDI Video,V7- Trimmed,1610,2,1,1,,G2,RG,left,
,BDI,BDI Video,V7- Trimmed,1620,1,2,1,,G,RG,left,
,BDI,BDI Video,V7- Trimmed,1620,2,1,1,,G2,RG,left,
,BDI,BDI Video,V7- Trimmed,1620,3,2,2,,peanut,blunt dissection,right,
,BDI,BDI Video,V7- Trimmed,1640,1,1,1,,G,RG,left,
,BDI,BDI Video,V7- Trimmed,1640,2,3,0,,G2,floating,left,
,BDI,BDI Video,V7- Trimmed,1640,3,2,2,,peanut,blunt dissection,right,
,BDI,BDI Video,V7- Trimmed,1650,1,1,1,,G,RG,left,
,BDI,BDI Video,V7- Trimmed,1650,2,2,1,,G2,RG,left,
,BDI,BDI Video,V7- Trimmed,1650,3,2,2,,peanut,blunt dissection,right,
,BDI,BDI Video,V7- Trimmed,1660,1,2,1,,G,RG,left,
,BDI,BDI Video,V7- Trimmed,1660,2,1,2,,peanut,blunt dissection,right,
,BDI,BDI Video,V7- Trimmed,1670,1,2,1,,G,RG,left,
,BDI,BDI Video,V7- Trimmed,1670,2,1,1,,G2,RG,left,
,BDI,BDI Video,V7- Trimmed,1670,3,1,2,,peanut,blunt dissection,right,
