Number,Group,Video Class (BDI/ Control = safe),Video Name,TTI Frame Seccond File name ,"Instrument number
1 - 4","Yolo TTI
0 = TN
1 = TP
2 = FN
3 = FP","Ground Truth Location of TTI
0 = no TTI (TN/FP)
1 = ALOS
2 = BLOS",Comments,Instument Type,TTI interaction,Side,
,BDI,BDI Video,v11-Trimmed,10,1,2,1,,G,RG,left ,
,BDI,BDI Video,v11-Trimmed,10,2,1,2,,dissector,blunt dissection,right ,
,BDI,BDI Video,v11-Trimmed,20,1,1,2,,G,other,left ,
,BDI,BDI Video,v11-Trimmed,20,2,0,0,,suction,,right ,
,BDI,BDI Video,v11-Trimmed,70,,,,not a target,,,,
,BDI,BDI Video,v11-Trimmed,90,1,3,0,,suction,,right ,
,BDI,BDI Video,v11-Trimmed,100,1,1,2,,suction,suction,right ,
,BDI,BDI Video,v11-Trimmed,110,1,3,0,,suction,,right ,
,BDI,BDI Video,v11-Trimmed,140,1,1,2,,G,RG,left ,
,BDI,BDI Video,v11-Trimmed,140,2,2,2,,suction,other,right ,
,BDI,BDI Video,v11-Trimmed,160,1,1,1,,G,RG,left ,
,BDI,BDI Video,v11-Trimmed,160,2,1,2,,dissector,blunt dissection,right ,
,BDI,BDI Video,v11-Trimmed,210,1,1,1,,G,RG,left ,
,BDI,BDI Video,v11-Trimmed,210,2,1,1,,G2,RG,left ,
,BDI,BDI Video,v11-Trimmed,230,,,,not a target,,,,
,BDI,BDI Video,v11-Trimmed,240,1,1,2,,dissector,blunt dissection,right ,
,BDI,BDI Video,v11-Trimmed,280,1,1,1,,G,RG,left ,
,BDI,BDI Video,v11-Trimmed,280,2,2,1,,G2,RG,left ,
,BDI,BDI Video,v11-Trimmed,350,1,3,0,,none,,,
,BDI,BDI Video,v11-Trimmed,360,1,1,1,,cautery,energy sharp dissection,right ,
,BDI,BDI Video,v11-Trimmed,410,1,3,0,,none,,,
,BDI,BDI Video,v11-Trimmed,430,1,1,1,,cautery,energy sharp dissection,right ,
